FSFA_Diffusion_Pre_nondev_010
Sample31
GC / MS DATA FILE
9/22/2011 9:04:00 AM

Young-Mo Kim
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC
SpectrumIndex 191 at 6.64 minutes; base peak 956.5 m/z with intensity 1180; TIC = 6437	6.64	1180	6437
SpectrumIndex 192 at 6.65 minutes; base peak 955.5 m/z with intensity 896; TIC = 5539	6.65	896	5539
SpectrumIndex 193 at 6.65 minutes; base peak 950.35 m/z with intensity 1176; TIC = 6433	6.65	1176	6433
SpectrumIndex 194 at 6.65 minutes; base peak 955.9 m/z with intensity 1178; TIC = 6435	6.65	1178	6435
SpectrumIndex 195 at 6.65 minutes; base peak 952.65 m/z with intensity 1176; TIC = 6981	6.65	1176	6981
SpectrumIndex 196 at 6.66 minutes; base peak 955.8 m/z with intensity 898; TIC = 5537	6.66	898	5537
SpectrumIndex 197 at 6.66 minutes; base peak 956.25 m/z with intensity 898; TIC = 6917	6.66	898	6917
SpectrumIndex 198 at 6.66 minutes; base peak 952.1 m/z with intensity 898; TIC = 6905	6.66	898	6905
SpectrumIndex 199 at 6.67 minutes; base peak 959.65 m/z with intensity 900; TIC = 5537	6.67	900	5537
SpectrumIndex 200 at 6.67 minutes; base peak 958 m/z with intensity 898; TIC = 5539	6.67	898	5539
SpectrumIndex 201 at 6.67 minutes; base peak 956.5 m/z with intensity 900; TIC = 6077	6.67	900	6077
SpectrumIndex 202 at 6.67 minutes; base peak 961.3 m/z with intensity 898; TIC = 5535	6.67	898	5535
SpectrumIndex 203 at 6.68 minutes; base peak 955.8 m/z with intensity 900; TIC = 5539	6.68	900	5539
SpectrumIndex 204 at 6.68 minutes; base peak 953.65 m/z with intensity 896; TIC = 6077	6.68	896	6077
SpectrumIndex 205 at 6.68 minutes; base peak 950.75 m/z with intensity 898; TIC = 7377	6.68	898	7377
SpectrumIndex 206 at 6.69 minutes; base peak 955.85 m/z with intensity 898; TIC = 5541	6.69	898	5541
SpectrumIndex 207 at 6.69 minutes; base peak 959.2 m/z with intensity 898; TIC = 6373	6.69	898	6373
SpectrumIndex 208 at 6.69 minutes; base peak 955.85 m/z with intensity 898; TIC = 5539	6.69	898	5539
SpectrumIndex 209 at 6.69 minutes; base peak 951.1 m/z with intensity 1138; TIC = 7275	6.69	1138	7275
SpectrumIndex 210 at 6.70 minutes; base peak 957.7 m/z with intensity 898; TIC = 6075	6.70	898	6075
SpectrumIndex 211 at 6.70 minutes; base peak 949.9 m/z with intensity 898; TIC = 6083	6.70	898	6083
SpectrumIndex 212 at 6.70 minutes; base peak 951.65 m/z with intensity 1138; TIC = 7257	6.70	1138	7257
SpectrumIndex 213 at 6.71 minutes; base peak 957.9 m/z with intensity 900; TIC = 5537	6.71	900	5537
SpectrumIndex 214 at 6.71 minutes; base peak 956.4 m/z with intensity 898; TIC = 5535	6.71	898	5535
SpectrumIndex 215 at 6.71 minutes; base peak 959.6 m/z with intensity 898; TIC = 6899	6.71	898	6899
SpectrumIndex 216 at 6.72 minutes; base peak 957.5 m/z with intensity 896; TIC = 5537	6.72	896	5537
SpectrumIndex 217 at 6.72 minutes; base peak 953.2 m/z with intensity 1498; TIC = 6435	6.72	1498	6435
SpectrumIndex 218 at 6.72 minutes; base peak 956.3 m/z with intensity 1098; TIC = 6435	6.72	1098	6435
SpectrumIndex 219 at 6.72 minutes; base peak 957.6 m/z with intensity 898; TIC = 6079	6.72	898	6079
SpectrumIndex 220 at 6.73 minutes; base peak 954.15 m/z with intensity 1698; TIC = 7931	6.73	1698	7931
